name,rating,type,descripration
心动小镇,8.7,"模拟经营, 治愈, 多人联机",一场治愈的模拟经营体验，适合喜欢轻松玩法的玩家。
英雄没有闪,7.2,"放置, 策略, 养成",策略放置游戏，适合喜欢养成玩法的玩家。
开放空间,9.0,"多人联机, 冒险, 开放世界",高分开放世界冒险游戏，值得一试。
Phigros测试,9.6,"音游, 手速, 节奏",经典音游，手速党的天堂。
燕云十六声,7.0,"开放世界, 动作, 武侠",武侠风格的开放世界动作游戏，值得体验。
香肠派对,8.7,"射击, 吃鸡, 战斗",经典吃鸡游戏，和朋友一起玩更有趣。
光·遇,7.6,"唯美, 治愈, 艺术",唯美治愈游戏，适合放松心情。
我独自生活测试,9.1,"养成, 经营, 模拟",独特的生活模拟体验，适合喜欢轻松养成的玩家。
原神,7.8,"开放世界, 二次元, 角色扮演",广阔的开放世界，适合二次元爱好者。
蛋仔派对,7.4,"多人联机, 派对游戏, 竞技",多人竞技派对游戏，适合和朋友一起玩。
鬼谷八荒,8.6,"买断制, Steam移植, 修仙",这款修仙题材的买断制游戏评价很高，适合喜欢Steam游戏的玩家。
崩坏：星穹铁道,7.4,"角色扮演, 冒险, 策略",作为一款策略角色扮演游戏，崩坏：星穹铁道在冒险元素上有独特之处。
鸣潮,6.9,"开放世界, 动作, ARPG",鸣潮是一款结合开放世界和动作元素的ARPG，玩家反馈较好。
永夜降临：复苏,6.1,"美少女, 暗黑, 二次元",这款美少女游戏在暗黑和二次元风格上有不错的表现。
尘白禁区,7.6,"二次元, 美少女, 射击",尘白禁区以其独特的二次元美少女风格和射击玩法吸引了不少玩家。
三角洲行动,6.3,"生存, 射击, 动作",这款射击动作游戏在生存元素上有不错的设计。
超自然行动组,7.7,"合作, 密室, 盗墓",超自然行动组是一款合作密室游戏，适合喜欢盗墓题材的玩家。
我在末日当房东,8.3,"Roguelike, 生存, 末日",这款Roguelike生存游戏在末日背景下有趣的玩法。
明日方舟,8.1,"塔防, 二次元, 养成",明日方舟是一款经典的塔防游戏，二次元风格和养成元素吸引了大量玩家。
战双帕弥什,8.0,"高画质, 动作, 二次元",战双帕弥什以其高画质和动作玩法在二次元游戏中脱颖而出。
仙剑世界,5.2,"开放世界, 抓宠, 仙剑",仙剑世界是一款结合了开放世界和抓宠元素的经典仙剑题材游戏，评分5.2分，适合喜欢冒险和养成的玩家。
百味食光,7.3,"模拟经营, 治愈, 模拟",百味食光是一款以模拟经营为核心的治愈系游戏，评分7.3分，适合喜欢轻松模拟类游戏的玩家。
手办模特应用,8.5,"捏脸, 换装, 二次元",手办模特应用是一款结合捏脸和换装的二次元风格应用，评分8.5分，适合喜欢个性化角色定制的玩家。
我的世界：移动版,6.0,"沙盒, 开放世界, 像素",我的世界：移动版是经典沙盒游戏的移动端移植，评分6.0分，提供开放世界和像素风格的创造体验。
第五人格,7.5,"刺激, 高画质, 3D",第五人格是一款画质精美的刺激感强的3D游戏，评分7.5分，适合喜欢紧张对战的玩家。
泰拉瑞亚,8.9,"Steam移植, 沙盒, 买断制",泰拉瑞亚是Steam经典游戏的移植版，评分8.9分，提供沙盒玩法和买断制体验，适合喜欢无限创造的玩家。
苍翼：混沌效应,9.1,"Steam移植, 动作, Roguelike",苍翼：混沌效应是Steam移植的高分动作游戏，评分9.1分，结合动作和Roguelike元素，适合硬核玩家。
完蛋！我被美女包围了！应用,7.2,"应用, 互动电影, 剧情",完蛋！我被美女包围了！是一款互动电影类应用，评分7.2分，提供剧情驱动的互动体验，适合喜欢剧情玩家的。
战争警戒,7.2,"战争, RTS, 策略",战争警戒是一款经典的战争策略游戏，评分7.2分，结合RTS玩法，适合喜欢军事策略的玩家。
以闪亮之名,8.9,"女性向, 模拟经营, 换装",以闪亮之名是一款女性向的模拟经营游戏，评分8.9分，提供换装和经营玩法，适合喜欢时尚和管理的玩家。
恋与深空,7.3,"乙女, 恋爱, 剧情",这款游戏评价很高，值得一试。
超市经理模拟器测试,8.1,模拟,这款游戏评价很高，值得一试。
无限暖暖,6.6,"收集, 换装, 开放世界",这款游戏评价一般，可能需要进一步改进。
可口的比萨,7.5,"模拟经营, 经营, 美食",这款游戏评价很高，值得一试。
绝区零,6.4,"二次元, ARPG, 高画质",这款游戏评价一般，可能需要进一步改进。
王者荣耀,5.1,"MOBA, 5v5, 多人联机",这款游戏评价一般，可能需要进一步改进。
骗骗酒馆（限量测试）,1289,"休闲, 角色扮演, 模拟, 经营, 社交",这款游戏评价很高，值得一试。
和平精英,7.2,"多人联机, 射击, FPS",这款游戏评价很高，值得一试。
江南第一主播公司测试,8.5,"经营, 卡牌, 美少女",这款游戏评价很高，值得一试。
我的勇者,8.5,"角色扮演, 像素, 地牢",这款游戏评价很高，值得一试。
